#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-20T14:17:06 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-20T14:17:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/A+A/391/159/table1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/391/159/table1&-out=Seq&-out=Pref&-out=Suff&-out=RAJ2000&-out=DEJ2000&-out=LRV&-out=LGRV&-out=FWHM&-out=NHI&-out=Flux&-out=Simbad&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33910159
#Name: J/A+A/391/159
#Title: A search for Compact High-Velocity Clouds (De Heij+, 2002)
#INFO	ivoid=ivo://cds.vizier/j/a+a/391/159	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/391/159	    IVOID of underlying data collection
#INFO	creator=De Heij V.	    First author or institution
#INFO	cites=bibcode:2002A&A...391..159D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2002	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/391/159	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33910159	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_391_159_table1:
#Name: J/A+A/391/159/table1
#Title: Catalog of high velocity HI features in the LDS
#Column	Seq	(I3)	Running ID number	[ucd=meta.id]
#Column	Pref	(A5)	Name-prefix (one of HVC, CHVC, CHVC:, CHVC?)	[ucd=src.class]
#Column	Suff	(A14)	Name-suffix (LLL.L+BB.B+VVV)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A7)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A6)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	LRV	(I4)	LSR (Local Standard of Rest) radial velocity	[ucd=spect.dopplerVeloc;pos.lsr]
#Column	LGRV	(I4)	LGSR (Local Group Standard of Rest) velocity	[ucd=phys.veloc;pos.lg]
#Column	FWHM	(I3)	Velocity FWHM	[ucd=spect.line.width]
#Column	NHI	(F5.2)	Peak HI column density in units of 10^20^cm^-2^	[ucd=phys.columnDensity;stat.max]
#Column	Flux	(I5)	Total HI Flux	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
Seq	Pref	Suff	RAJ2000	DEJ2000	LRV	LGRV	FWHM	NHI	Flux	Simbad
451	 HVC 	128.0+13.1+292	02 09.4	+75 11	 292	 521	 61	 0.10	  172	Simbad
452	 HVC 	128.1+33.3-138	10 32.0	+82 23	-138	  46	 54	 0.21	 1350	Simbad
453	 HVC 	128.3+23.0+095	04 14.6	+83 36	  95	 304	109	 0.16	 2107	Simbad
454	 HVC 	128.3-13.0-189	01 23.6	+49 34	-189	  55	 14	 0.09	   30	Simbad
455	CHVC 	128.6+14.7-306	02 28.5	+76 30	-306	 -81	 12	 0.15	  117	Simbad
456	 HVC 	129.1+02.7-200	01 49.5	+64 52	-200	  40	 19	 2.32	 9019	Simbad
457	 HVC 	129.8-32.8-392	01 18.1	+29 42	-392	-172	 13	 0.45	 1875	Simbad
458	 HVC 	129.9-14.1-204	01 32.4	+48 13	-204	  36	 28	 0.08	   76	Simbad
459	CHVC 	130.0-34.2-367	01 18.0	+28 20	-367	-150	 13	 0.11	   54	Simbad
460	 HVC 	130.2-09.1-164	01 39.4	+53 06	-164	  77	 36	 0.18	  500	Simbad
461	CHVC:	130.3+52.3+317	12 10.0	+64 16	 317	 435	 39	 0.06	   20	Simbad
462	CHVC 	130.8+60.1-121	12 22.9	+56 33	-121	 -33	 17	 0.12	  154	Simbad
463	 HVC 	130.8-30.8-097	01 23.1	+31 37	 -97	 125	 49	 0.14	  263	Simbad
464	CHVC 	131.1-21.3-098	01 31.7	+40 59	 -98	 135	  9	 0.56	  428	Simbad
465	 HVC 	131.2-02.6-184	01 56.5	+59 15	-184	  54	  9	 0.85	  675	Simbad
466	CHVC 	131.3-22.3-445	01 31.9	+39 54	-445	-213	  4	 0.10	   32	Simbad
467	 HVC 	131.5+26.3-198	06 34.6	+82 20	-198	  -2	 11	 0.07	   21	Simbad
468	CHVC:	132.0-75.8-304	01 00.6	-13 07	-304	-212	 34	 0.11	   98	Simbad
469	 HVC 	132.1+23.1-200	05 15.4	+80 48	-200	   2	  9	 0.88	 2668	Simbad
470	 HVC 	132.2+29.1+179	07 52.8	+81 34	 179	 367	 99	 0.12	   31	Simbad
471	 HVC 	132.5+27.1-173	06 59.9	+81 31	-173	  19	 14	 0.26	  339	Simbad
472	 HVC 	132.7+25.3-207	06 12.0	+81 01	-207	 -11	 11	 0.09	  199	Simbad
473	 HVC 	132.9+35.9+090	10 05.8	+77 49	  90	 258	 71	 0.12	  526	Simbad
474	 HVC 	133.3-03.8-173	02 09.5	+57 33	-173	  60	 10	 0.56	  112	Simbad
475	 HVC 	133.5+67.8-112	12 27.3	+48 50	-112	 -57	 27	 0.11	   52	Simbad
476	 HVC 	133.5-14.2-187	01 52.5	+47 22	-187	  45	 34	 0.27	 1302	Simbad
477	 HVC 	133.6-08.8-150	02 01.5	+52 35	-150	  84	 56	 0.11	  234	Simbad
478	 HVC 	133.8-03.0-193	02 14.9	+58 07	-193	  40	  8	 0.06	   28	Simbad
479	 HVC 	133.9-23.2-103	01 43.0	+38 38	-103	 123	 13	 0.20	  261	Simbad
480	 HVC 	134.3-43.3-110	01 26.2	+18 48	-110	  81	 35	 0.12	  227	Simbad
481	 HVC 	134.4+04.5-192	02 42.7	+64 52	-192	  34	 51	 0.19	  186	Simbad
482	 HVC 	134.4+25.1-165	06 17.6	+79 33	-165	  27	 22	 1.06	  846	Simbad
483	CHVC 	134.7-27.6-250	01 41.8	+34 09	-250	 -31	 89	 0.19	   56	Simbad
484	 HVC 	135.1+02.2-191	02 39.9	+62 28	-191	  35	 11	 0.13	  146	Simbad
485	 HVC 	136.0+27.4-150	07 09.2	+78 25	-150	  34	 25	 0.17	  133	Simbad
486	CHVC 	136.1-23.5-153	01 52.8	+37 49	-153	  68	 24	 0.24	  526	Simbad
487	 HVC 	136.9+14.3-416	04 03.7	+71 44	-416	-208	 22	 0.05	   20	Simbad
488	 HVC 	136.9+46.8-153	11 09.5	+67 29	-153	 -26	 27	 0.74	 3853	Simbad
489	 HVC 	137.2+28.2-213	07 24.8	+77 18	-213	 -34	  7	 0.09	   33	Simbad
490	 HVC 	137.2-05.8+107	02 30.9	+54 17	 107	 331	 91	 0.13	  469	Simbad
491	 HVC 	137.3+47.8+097	11 12.3	+66 30	  97	 220	 23	 0.13	  330	Simbad
492	 HVC 	137.6+02.5-190	02 59.8	+61 38	-190	  29	 47	 0.06	   18	Simbad
493	 HVC 	137.8-12.5-173	02 19.2	+47 49	-173	  49	 23	 0.17	  391	Simbad
494	 HVC 	138.9+54.2-261	11 35.1	+60 32	-261	-162	 81	 0.11	   49	Simbad
495	 HVC 	139.2-59.7-104	01 24.0	+02 07	-104	  36	 72	 0.15	  452	Simbad
496	 HVC 	139.7+31.0-163	08 06.6	+74 51	-163	   3	 15	 0.19	  175	Simbad
497	 HVC 	139.9-22.4-148	02 11.2	+37 52	-148	  65	 26	 0.05	   59	Simbad
498	 HVC 	140.0-56.6-092	01 28.8	+05 00	 -92	  55	 29	 0.10	  134	Simbad
499	 HVC 	140.8-34.0+264	01 57.5	+26 35	 264	 460	 70	 0.11	   30	Simbad
500	CHVC:	141.4-81.9-223	01 02.2	-19 27	-223	-159	 25	 0.06	   26	Simbad
501	 HVC 	141.7+26.2+089	06 55.3	+73 12	  89	 262	  6	 0.11	  315	Simbad
502	 HVC 	142.5-40.1-111	01 54.7	+20 20	-111	  71	 63	 0.13	  546	Simbad
503	 HVC 	142.7+55.1+093	11 24.2	+58 36	  93	 183	 70	 0.14	 1200	Simbad
504	CHVC 	143.0+32.8-416	08 23.3	+71 44	-416	-262	 13	 0.06	   13	Simbad
505	 HVC 	143.3-11.4-168	02 51.0	+46 42	-168	  40	 33	 0.08	   50	Simbad
506	 HVC 	143.4-45.9-108	01 49.6	+14 38	-108	  60	 28	 0.49	 3331	Simbad
507	 HVC 	144.1+47.0-144	10 33.9	+64 07	-144	 -32	 25	 0.30	  654	Simbad
508	 HVC 	145.0+50.2+123	10 51.1	+61 26	 123	 224	 94	 0.11	   21	Simbad
509	CHVC:	145.2-77.6-273	01 10.8	-15 35	-273	-196	 24	 0.12	   92	Simbad
510	 HVC 	145.5+54.4-268	11 11.4	+58 07	-268	-181	 48	 0.04	   10	Simbad
511	 HVC 	145.7+33.3+096	08 23.2	+69 25	  96	 242	162	 0.32	  777	Simbad
512	 HVC 	145.7-12.4-118	02 59.7	+44 43	-118	  82	 39	 0.17	  294	Simbad
513	 HVC 	146.6-16.2-132	02 54.5	+40 59	-132	  64	 22	 0.10	  136	Simbad
514	 HVC 	147.0+41.8-117	09 43.1	+65 30	-117	   4	 26	 0.54	 2111	Simbad
515	 HVC 	147.0-33.9-125	02 19.2	+24 50	-125	  55	 70	 0.16	  942	Simbad
516	 HVC 	147.1+30.8-105	07 53.4	+68 36	-105	  44	 49	 0.09	  146	Simbad
517	 HVC 	147.3+11.1+096	04 50.5	+62 05	  96	 279	 47	 0.17	 1091	Simbad
518	 HVC 	147.6+45.1-136	10 07.3	+63 22	-136	 -26	 90	 0.31	 1242	Simbad
519	 HVC 	147.7-53.9+110	01 49.0	+06 10	 110	 251	136	 0.33	  704	Simbad
520	 HVC 	147.9-52.4+337	01 51.7	+07 29	 337	 481	 50	 0.07	    6	Simbad
521	 HVC 	148.0-27.4-316	02 35.0	+30 22	-316	-131	105	 0.14	  163	Simbad
522	 HVC 	148.0-57.4-094	01 44.3	+02 55	 -94	  38	 40	 0.12	  355	Simbad
523	CHVC 	148.9-82.5-269	01 05.5	-20 18	-269	-210	 20	 0.18	  114	Simbad
524	 HVC 	149.0-19.8-151	02 55.8	+36 45	-151	  37	 29	 0.09	   56	Simbad
525	 HVC 	149.4+00.0+089	04 01.3	+52 51	  89	 274	 51	 0.10	  182	Simbad
526	 HVC 	149.4-00.0+089	04 01.2	+52 50	  89	 274	 51	 0.10	  182	Simbad
527	 HVC 	150.9+47.9-112	10 16.0	+59 54	-112	 -17	 99	 0.24	 1126	Simbad
528	 HVC 	151.0-47.0-098	02 08.0	+11 38	 -98	  50	 22	 0.14	  504	Simbad
529	 HVC 	151.4+33.6+180	08 18.9	+64 42	 180	 310	 74	 0.11	  105	Simbad
530	 HVC 	151.5+33.5+092	08 17.7	+64 37	  92	 222	 15	 0.11	   49	Simbad
531	 HVC 	151.6-22.4-143	02 59.5	+33 13	-143	  35	 39	 0.20	 1105	Simbad
532	 HVC 	151.6-43.5-122	02 15.8	+14 38	-122	  31	 28	 0.14	  173	Simbad
533	 HVC 	151.8-78.5-265	01 14.5	-16 57	-265	-195	 53	 0.09	   65	Simbad
534	 HVC 	152.5+30.7+157	07 51.5	+63 59	 157	 290	100	 0.10	   44	Simbad
535	 HVC 	152.5+48.4-157	10 14.8	+58 46	-157	 -67	 24	 0.34	 1178	Simbad
536	 HVC 	152.7+32.6-126	08 08.5	+63 41	-126	   2	101	 1.02	  825	Simbad
537	 HVC 	153.0+26.9+121	07 17.0	+63 16	 121	 259	 54	 0.11	  105	Simbad
538	 HVC 	153.0+37.4-164	08 49.9	+62 43	-164	 -47	 32	 2.45	44976	Simbad
539	 HVC 	154.5+63.6-104	11 29.5	+48 15	-104	 -61	 30	 0.09	   27	Simbad
540	 HVC 	154.5-07.4+089	03 55.9	+43 53	  89	 260	101	 0.14	 1492	Simbad
541	 HVC 	154.9+45.5-138	09 49.0	+58 45	-138	 -47	 37	 0.12	  496	Simbad
542	 HVC 	155.0-12.2-134	03 41.7	+39 51	-134	  35	 30	 0.17	  361	Simbad
543	CHVC:	155.5+04.0-155	04 48.0	+51 17	-155	   7	 46	 0.18	  142	Simbad
544	 HVC 	156.3-45.1-304	02 24.7	+11 37	-304	-166	 22	 0.18	  143	Simbad
545	 HVC 	156.6-03.5-445	04 19.3	+45 23	-445	-283	 11	 0.03	   12	Simbad
546	CHVC 	157.1+02.9-186	04 48.7	+49 22	-186	 -30	 12	 0.10	   49	Simbad
547	CHVC 	157.7-39.3-287	02 40.9	+16 04	-287	-144	 12	 0.08	   24	Simbad
548	 HVC 	157.7-40.5-092	02 38.1	+15 05	 -92	  49	 85	 0.27	 1710	Simbad
549	 HVC 	158.2-12.7-139	03 52.4	+37 30	-139	  19	 29	 0.11	  141	Simbad
550	 HVC 	158.3+31.7+257	08 00.1	+58 58	 257	 369	 65	 0.07	   33	Simbad
551	 HVC 	158.3-20.9-104	03 28.0	+31 05	-104	  53	 36	 0.11	  331	Simbad
552	 HVC 	158.9-31.4-314	03 02.5	+22 11	-314	-166	 73	 0.12	  107	Simbad
553	 HVC 	159.0+35.7-160	08 30.4	+58 13	-160	 -58	 23	 0.37	  305	Simbad
554	 HVC 	159.3+57.3-114	10 50.5	+50 27	-114	 -62	 17	 0.10	  359	Simbad
555	 HVC 	159.3-32.9-277	02 59.9	+20 44	-277	-132	 26	 0.27	  202	Simbad
556	 HVC 	159.5-14.4-140	03 51.6	+35 20	-140	  13	 22	 0.07	   18	Simbad
557	 HVC 	160.7-44.8-333	02 36.2	+10 16	-333	-206	 35	 1.08	 3905	Simbad
558	 HVC 	161.0-23.1-238	03 30.8	+27 44	-238	 -92	 58	 0.06	   15	Simbad
559	 HVC 	161.0-47.4-116	02 31.0	+07 59	-116	   7	 27	 0.71	16295	Simbad
560	CHVC 	161.1-18.2-199	03 45.4	+31 29	-199	 -52	109	 0.23	   80	Simbad
561	 HVC 	161.1-23.2-438	03 30.8	+27 38	-438	-293	 15	 0.05	   17	Simbad
562	CHVC 	161.6+02.7-186	05 04.9	+45 43	-186	 -47	 23	 0.32	  219	Simbad
563	 HVC 	161.7-33.5-265	03 05.7	+19 07	-265	-129	 25	 0.31	  649	Simbad
564	 HVC 	161.9+35.9+092	08 30.2	+55 54	  92	 185	 94	 0.18	  874	Simbad
565	 HVC 	162.6-31.2-268	03 13.8	+20 29	-268	-133	 53	 0.16	  243	Simbad
566	 HVC 	162.8+38.8-166	08 50.1	+54 52	-166	 -82	 24	 0.30	 1660	Simbad
567	 HVC 	162.8+44.5-163	09 28.3	+53 48	-163	 -91	 21	 0.12	   48	Simbad
568	 HVC 	162.8-46.3-303	02 37.8	+08 09	-303	-184	 32	 0.48	  508	Simbad
569	 HVC 	162.9-37.0-302	03 00.3	+15 44	-302	-173	 44	 0.08	   40	Simbad
570	 HVC 	163.3-40.3-125	02 53.1	+12 50	-125	   0	 41	 0.14	  276	Simbad
571	 HVC 	163.6+61.6-237	11 05.0	+46 13	-237	-204	 67	 0.08	   16	Simbad
572	 HVC 	163.7-14.3-118	04 06.7	+32 42	-118	  19	 55	 0.22	  583	Simbad
573	 HVC 	164.2-29.5-109	03 23.1	+20 59	-109	  22	 26	 0.23	 1496	Simbad
574	 HVC 	165.6-18.8+244	03 58.4	+28 14	 244	 373	 52	 0.05	   17	Simbad
575	 HVC 	165.7+70.0+094	11 40.0	+40 43	  94	 104	 61	 0.11	 1529	Simbad
576	 HVC 	165.9-00.8-152	05 03.7	+40 07	-152	 -29	 31	 0.07	   52	Simbad
577	 HVC 	165.9-32.9-102	03 18.9	+17 26	-102	  21	 20	 0.13	  133	Simbad
578	 HVC 	166.3+55.5-139	10 29.5	+47 57	-139	 -98	 22	 0.94	 5385	Simbad
579	 HVC 	166.6+11.7+094	06 04.1	+46 17	  94	 205	111	 0.13	  526	Simbad
580	 HVC 	166.7-39.6-281	03 03.3	+11 51	-281	-166	 27	 0.15	  248	Simbad
581	 HVC 	166.8+48.4-256	09 48.4	+50 05	-256	-203	110	 0.12	   77	Simbad
582	 HVC 	166.9-43.2-275	02 54.8	+08 54	-275	-164	 24	 1.55	 9084	Simbad
583	 HVC 	167.2-17.2-119	04 08.5	+28 18	-119	   4	 25	 0.19	  375	Simbad
584	 HVC 	168.0+59.6-243	10 48.6	+45 22	-243	-215	107	 0.12	   55	Simbad
585	 HVC 	168.2+38.4-142	08 44.9	+50 42	-142	 -74	 24	 0.58	 1697	Simbad
586	 HVC 	168.2-20.2-106	04 01.6	+25 30	-106	  13	 87	 0.19	  613	Simbad
587	 HVC 	168.2-31.5-280	03 28.8	+17 14	-280	-164	 23	 0.14	  159	Simbad
588	 HVC 	168.4-75.1-107	01 35.6	-16 14	-107	 -44	 32	 0.29	  559	Simbad
589	 HVC 	168.5-50.0-184	02 40.8	+02 55	-184	 -85	 39	 0.07	   35	Simbad
590	 HVC 	168.8-34.4-287	03 22.3	+14 41	-287	-175	 29	 0.18	  114	Simbad
591	 HVC 	169.0-34.5-124	03 22.5	+14 32	-124	 -13	 25	 0.72	 4547	Simbad
592	 HVC 	169.0-49.4-293	02 43.5	+03 13	-293	-195	 24	 0.21	  196	Simbad
593	 HVC 	169.5+53.8-106	10 16.0	+46 49	-106	 -70	 20	 0.12	  131	Simbad
594	 HVC 	169.6-39.5-278	03 10.8	+10 28	-278	-173	 24	 0.29	  402	Simbad
595	 HVC 	169.7-17.2-120	04 15.9	+26 34	-120	  -7	 21	 0.11	  106	Simbad
596	 HVC 	169.9-23.1-140	03 57.8	+22 17	-140	 -29	 21	 0.13	  364	Simbad
597	 HVC 	170.1-38.8-226	03 13.7	+10 41	-226	-121	 46	 0.12	  185	Simbad
598	 HVC 	170.4-33.3-238	03 29.5	+14 38	-238	-131	 35	 0.06	   50	Simbad
599	 HVC 	170.4-48.0-295	02 50.0	+03 39	-295	-199	 29	 0.07	   34	Simbad
600	 HVC 	170.5-52.1-199	02 39.2	+00 29	-199	-107	 53	 0.10	   57	Simbad
601	 HVC 	170.6-32.3-271	03 32.9	+15 18	-271	-165	 20	 0.07	   31	Simbad
602	 HVC 	170.8-37.3-297	03 19.6	+11 30	-297	-193	 30	 0.22	  675	Simbad
603	CHVC 	170.8-42.3-217	03 05.8	+07 45	-217	-117	 24	 0.15	  117	Simbad
604	 HVC 	171.0+37.0-145	08 36.2	+48 34	-145	 -84	 22	 0.13	  102	Simbad
605	CHVC:	171.3+62.6+349	10 59.8	+42 38	 349	 365	 20	 0.04	    7	Simbad
606	CHVC 	171.3-53.6-238	02 36.6	-00 55	-238	-150	 28	 0.28	  341	Simbad
607	 HVC 	171.6+67.8-332	11 24.3	+40 06	-332	-327	 28	 0.05	    8	Simbad
608	CHVC 	171.7-59.7-234	02 21.2	-05 36	-234	-154	 23	 0.10	   48	Simbad
609	 HVC 	171.8+51.5-110	10 00.9	+46 11	-110	 -76	 24	 0.26	  639	Simbad
610	 HVC 	171.8-41.4-191	03 10.6	+07 55	-191	 -94	 14	 0.07	   21	Simbad
611	 HVC 	171.9+60.9+092	10 50.9	+43 04	  92	 109	  5	 0.08	  101	Simbad
612	 HVC 	172.1+45.7-260	09 27.8	+47 07	-260	-217	 64	 0.11	   66	Simbad
613	 HVC 	172.3-34.8-283	03 30.0	+12 26	-283	-184	 41	 0.43	 1321	Simbad
614	CHVC:	172.3-41.9-292	03 10.2	+07 17	-292	-197	 42	 0.11	   69	Simbad
615	 HVC 	172.3-45.1-095	03 01.6	+05 00	 -95	  -2	 30	 0.15	  111	Simbad
616	 HVC 	172.5-43.8-236	03 05.6	+05 48	-236	-143	 31	 0.14	   72	Simbad
617	 HVC 	172.6-45.0-252	03 02.3	+04 52	-252	-160	 26	 0.12	   43	Simbad
618	 HVC 	172.7-15.5+275	04 30.0	+25 38	 275	 376	 24	 0.07	   15	Simbad
619	 HVC 	172.8-31.0-153	03 42.2	+14 56	-153	 -54	 47	 0.10	  410	Simbad
620	 HVC 	172.9-40.1-251	03 16.7	+08 18	-251	-157	 20	 0.07	   61	Simbad
621	 HVC 	173.0+43.5-262	09 14.4	+46 46	-262	-219	 76	 0.09	   68	Simbad
622	 HVC 	173.2+00.9+112	05 31.9	+35 08	 112	 203	 37	 0.09	   55	Simbad
623	 HVC 	173.4-41.7-247	03 13.1	+06 53	-247	-155	 30	 0.21	  266	Simbad
624	CHVC:	173.4-51.9-230	02 45.3	-00 31	-230	-146	 30	 0.12	   53	Simbad
625	 HVC 	173.7-40.5-203	03 17.2	+07 32	-203	-112	 33	 0.11	   45	Simbad
626	 HVC 	173.9+30.6+204	07 59.7	+45 39	 204	 263	 47	 0.08	   28	Simbad
627	 HVC 	173.9+44.5-115	09 19.9	+45 59	-115	 -76	 24	 0.07	   24	Simbad
628	 HVC 	174.3+38.0-105	08 42.3	+45 55	-105	 -57	 37	 0.11	  326	Simbad
629	 HVC 	174.4-33.1-257	03 40.3	+12 28	-257	-165	 27	 0.25	  558	Simbad
630	CHVC:	174.9+55.6-106	10 20.3	+43 20	-106	 -87	 25	 0.36	  759	Simbad
631	 HVC 	175.1-43.5-098	03 11.7	+04 41	 -98	 -13	 23	 0.62	 3081	Simbad
632	 HVC 	175.5+35.6+161	08 29.0	+44 54	 161	 208	 41	 0.09	   48	Simbad
633	 HVC 	175.6-30.1-104	03 51.9	+13 49	-104	 -16	 33	 0.30	 3352	Simbad
634	 HVC 	175.7-34.9-272	03 37.9	+10 27	-272	-185	 32	 0.09	   96	Simbad
635	CHVC 	175.8-53.0-216	02 46.1	-02 21	-216	-140	 28	 0.08	   30	Simbad
636	 HVC 	176.1-40.8-130	03 21.4	+06 05	-130	 -47	 41	 0.13	  204	Simbad
637	 HVC 	177.1-36.3-266	03 37.0	+08 36	-266	-185	 32	 0.18	  276	Simbad
638	 HVC 	177.8-15.5-101	04 43.8	+21 52	-101	 -22	 45	 0.24	  863	Simbad
639	 HVC 	178.1-37.4-106	03 35.8	+07 16	-106	 -28	 36	 0.11	  546	Simbad
640	 HVC 	179.7-20.5-110	04 32.2	+17 16	-110	 -38	 75	 0.28	 3163	Simbad
641	 HVC 	180.1-77.2-114	01 37.1	-19 43	-114	 -66	 16	 0.40	  592	Simbad
642	 HVC 	180.2-21.4-111	04 30.3	+16 19	-111	 -41	 40	 0.31	 2246	Simbad
643	 HVC 	180.3-33.4-227	03 52.6	+08 38	-227	-157	 66	 0.17	  740	Simbad
644	 HVC 	180.4-28.0-195	04 09.6	+12 02	-195	-125	 27	 0.10	   49	Simbad
645	CHVC 	180.6+42.8-441	09 09.2	+41 14	-441	-421	 13	 0.06	   22	Simbad
646	 HVC 	180.7-29.8-240	04 04.8	+10 39	-240	-171	 26	 0.12	   48	Simbad
647	 HVC 	181.4+54.2-095	10 09.3	+39 58	 -95	 -91	 18	 0.18	  286	Simbad
648	 HVC 	181.4-34.2+264	03 52.5	+07 23	 264	 330	 50	 0.12	   26	Simbad
649	 HVC 	181.5-34.2+335	03 53.0	+07 20	 335	 400	 35	 0.07	   17	Simbad
650	 HVC 	181.5-39.6-117	03 36.3	+03 50	-117	 -52	 44	 0.07	   72	Simbad
651	 HVC 	181.6-14.9-145	04 55.4	+19 19	-145	 -83	 26	 0.34	  268	Simbad
652	 HVC 	181.6-17.7+235	04 45.9	+17 34	 235	 298	 52	 0.08	   22	Simbad
653	 HVC 	181.9-27.5-228	04 14.6	+11 21	-228	-165	 19	 0.10	   63	Simbad
654	 HVC 	182.1+76.9+110	11 57.6	+33 12	 110	  87	 75	 0.07	   82	Simbad
655	 HVC 	182.3-24.5-207	04 25.3	+12 53	-207	-145	 24	 0.14	   71	Simbad
656	 HVC 	182.3-36.7+160	03 46.8	+05 15	 160	 222	 98	 0.13	   46	Simbad
657	 HVC 	182.4+21.4-267	07 22.3	+35 59	-267	-232	 75	 0.11	   48	Simbad
658	 HVC 	182.4-10.9-180	05 11.0	+20 59	-180	-123	 30	 2.35	27386	Simbad
659	 HVC 	182.5+57.2-107	10 24.1	+38 52	-107	-109	 23	 0.83	10472	Simbad
660	 HVC 	182.5-08.9-114	05 18.2	+22 01	-114	 -58	 84	 0.30	  791	Simbad
661	 HVC 	182.6-29.5+098	04 10.0	+09 36	  98	 159	113	 0.15	  288	Simbad
662	 HVC 	183.2-25.3-194	04 24.5	+11 47	-194	-136	 20	 0.10	  250	Simbad
663	CHVC:	183.7-06.2-110	05 31.1	+22 33	-110	 -61	 28	 0.33	  257	Simbad
664	 HVC 	183.8-34.3-229	03 57.3	+05 47	-229	-173	 24	 0.08	   31	Simbad
665	 HVC 	184.1-21.7-221	04 38.4	+13 21	-221	-168	 25	 0.11	   79	Simbad
666	 HVC 	184.8-16.4-165	04 57.7	+15 56	-165	-116	 24	 0.26	  199	Simbad
667	 HVC 	185.1-02.5-106	05 47.9	+23 17	-106	 -66	 44	 0.32	  581	Simbad
668	 HVC 	185.3-22.8-099	04 37.6	+11 44	 -99	 -51	 37	 0.13	  526	Simbad
669	 HVC 	185.4+44.3+116	09 17.8	+37 48	 116	 119	 63	 0.08	  107	Simbad
670	 HVC 	185.4-39.5+206	03 44.3	+01 37	 206	 257	103	 0.14	   33	Simbad
671	 HVC 	185.5+39.3+092	08 52.4	+37 20	  92	  99	 54	 0.15	  790	Simbad
672	 HVC 	185.7+21.1-210	07 26.0	+33 00	-210	-189	 22	 0.07	   21	Simbad
673	 HVC 	185.7-20.7-342	04 45.4	+12 39	-342	-297	 42	 0.08	   22	Simbad
674	 HVC 	185.7-32.6-226	04 06.7	+05 37	-226	-176	 43	 0.11	   61	Simbad
675	 HVC 	185.9+31.8+236	08 16.1	+35 42	 236	 247	 62	 0.11	   63	Simbad
676	 HVC 	185.9-28.3-109	04 21.2	+08 03	-109	 -61	 18	 0.15	  441	Simbad
677	 HVC 	186.0-30.8-206	04 13.0	+06 28	-206	-158	 21	 0.20	  146	Simbad
678	 HVC 	186.1-25.6-213	04 30.0	+09 31	-213	-167	 29	 0.09	   55	Simbad
679	 HVC 	186.2-17.9-180	04 55.8	+13 57	-180	-137	 39	 0.10	   73	Simbad
680	 HVC 	186.2-22.8-206	04 39.6	+11 05	-206	-162	 28	 0.14	  272	Simbad
681	CHVC 	186.3+18.8-109	07 16.5	+31 41	-109	 -89	 14	 0.32	  305	Simbad
682	 HVC 	186.7-16.9-111	05 00.2	+14 07	-111	 -70	 31	 0.61	 1205	Simbad
683	 HVC 	186.9-13.6-097	05 12.2	+15 47	 -97	 -60	 70	 0.25	  454	Simbad
684	 HVC 	187.3-15.7-160	05 06.0	+14 19	-160	-123	 34	 0.20	  258	Simbad
685	 HVC 	187.4-06.3+242	05 39.0	+19 20	 242	 274	103	 0.13	  116	Simbad
686	 HVC 	187.4-26.4-126	04 30.3	+08 05	-126	 -85	 43	 0.13	  173	Simbad
687	 HVC 	187.6+79.1-294	12 05.5	+31 18	-294	-323	 76	 0.07	   17	Simbad
688	 HVC 	188.0+74.2+098	11 43.1	+32 46	  98	  72	 36	 0.09	   52	Simbad
689	 HVC 	188.1-25.9-183	04 33.6	+07 53	-183	-145	 45	 0.09	   92	Simbad
690	 HVC 	188.1-31.1+139	04 16.4	+04 51	 139	 178	 78	 0.14	  121	Simbad
691	 HVC 	188.2-18.9-172	04 57.0	+11 47	-172	-138	 26	 0.16	  373	Simbad
692	 HVC 	188.3-23.5-163	04 41.8	+09 06	-163	-127	 26	 0.11	  169	Simbad
